ID,min_year,max_year
1661,2004,2011
1662,2005,2011
1663,2005,2011
1664,1971,1986
1665,1972,1989
1666,1985,1994
1667,1985,2016
1668,1987,2016
1669,2006,2016
1670,1987,1994
1671,1982,1986
1672,1981,1990
1673,1974,1994
1674,1984,1992
1675,1982,1994
1676,1995,2016
1677,2003,2015
1678,2005,2011
1679,2008,2016
1680,1977,1986
1681,1975,1989
1682,1970,1994
1683,1970,1994
1684,1971,1994
1685,1970,1994
1686,1971,1994
1687,1972,1990
1688,1970,1994
1689,1974,1994
1690,1970,1994
1691,1970,1994
1692,1971,1993
1693,1980,1993
1694,1971,2016
1695,1970,1981
1696,1982,1994
1697,1995,2016
1698,1970,1981
1699,1982,1994
1700,1995,2016
1701,1983,1994
1702,1996,2016
1703,1990,1994
1704,1995,2016
1705,1968,1995
1706,1996,1999
1707,1971,2016
1708,1994,2017
1709,1984,2016
1710,1994,2017
1711,1986,2005
1712,1998,2013
1713,1983,2006
1714,1987,2014
1715,1987,2014
1716,1987,2014
1717,1987,2014
1718,1987,2014
1719,1987,2014
1720,1987,2014
1721,1987,2014
1722,1987,2000
1723,1987,2000
1724,2003,2014
1725,2008,2018
1726,1999,2016
1727,1970,2015
1728,2001,2016
1729,1998,2017
1730,1991,2016
1731,1982,2018
1732,1980,2013
1733,1972,2002
1734,1987,1989
1735,1983,1989
1736,1976,1989
1737,1984,2003
1738,2003,2015
1739,2005,2015
1740,2004,2016
1741,2012,2015
1742,2004,2016
1743,2012,2015
1744,1982,2009
1745,1982,2009
1746,1988,2009
1747,1988,2009
1748,1990,2010
1749,1965,2004
1750,1965,2006
1751,1978,2010
1752,1985,2003
1753,1973,2003
1754,1978,2007
1755,1978,2007
1756,1970,2006
1757,2001,2010
1758,1973,1994
1759,1970,1985
1760,2011,2013
1761,1975,1994
1762,1971,1994
1763,1970,1994
1764,1970,1994
1765,2003,2013
1766,2007,2009
1767,2007,2016
1768,1992,2016
1769,2007,2015
1770,2012,2016
1771,2006,2015
1772,2006,2015
1773,1972,1994
1774,1970,1994
1775,1970,1994
1776,2004,2005
1777,2007,2012
1778,1972,1994
1779,1970,1994
1780,1970,1994
1781,1971,1994
1782,1986,1993
1783,1971,2016
1784,1970,1981
1785,2006,2015
1786,2008,2015
1787,2001,2015
1788,1982,1994
1789,1995,2016
1790,1970,1981
1791,1982,1994
1792,1995,2016
1793,1999,2016
1794,1999,2016
1795,1999,2016
1796,1978,1991
1797,1978,1991
1798,1971,1994
1799,1970,1994
1800,1972,1994
1801,1976,1991
1802,1972,1994
1803,1979,1994
1804,1978,1993
1805,1981,1994
1806,1970,1994
1807,1970,1994
1808,1973,1994
1809,1981,2016
1810,1995,2016
1811,2011,2013
1812,1971,1984
1813,1971,1978
1814,1978,1992
1815,1977,1994
1816,1972,1994
1817,1973,1994
1818,1970,1994
1819,1970,1994
1820,1970,1992
1821,1971,1992
1822,1974,2016
1823,1986,1988
1824,1997,2016
1825,2001,2015
1826,1951,2007
1827,1951,2007
1828,1952,2007
1829,1952,2007
1830,1952,2007
1831,2003,2015
1832,2005,2015
1833,2004,2016
1834,2012,2015
1835,2012,2015
1836,2004,2016
1837,1951,1987
1838,1988,2016
1839,1992,2012
1840,1992,2012
1841,1992,2011
1842,1965,1981
1843,1950,1979
1844,1951,1979
1845,2002,2006
1846,2013,2015
1847,2012,2015
1848,2009,2015
1849,1984,1994
1850,1983,1992
1851,1991,1993
1852,1978,1991
1853,1978,1991
1854,1976,1994
1855,1978,1993
1856,1977,1994
1857,1980,1992
1858,1984,1994
1859,1976,1994
1860,1974,1994
1861,1970,1990
1862,1974,1988
1863,1978,1991
1864,1978,1991
1865,1982,1994
1866,1979,1991
1867,1986,1991
1868,1982,1993
1869,1983,1993
1870,1974,1987
1871,1977,1994
1872,1977,1991
1873,1985,1991
1874,1971,1994
1875,1973,1994
1876,1973,1991
1877,1973,1994
1878,1973,1994
1879,1977,1994
1880,1973,1994
1881,1973,1994
1882,1973,1993
1883,1970,1994
1884,1971,2016
1885,1973,1980
1886,1987,1990
1887,1995,2016
1888,1986,1988
1889,1996,2016
1890,2007,2013
1891,2005,2015
1892,2008,2016
1893,2012,2015
1894,2006,2016
1895,1971,1994
1896,1974,1984
1897,1974,1983
1898,2005,2015
1899,2008,2014
1900,2008,2016
1901,2003,2015
1902,2005,2015
1903,1978,1991
1904,1978,1991
1905,1971,1994
1906,1973,1993
1907,1970,1994
1908,1975,1994
1909,1970,1994
1910,1984,1994
1911,1978,1993
1912,1972,1994
1913,1977,1992
1914,1974,1992
1915,1977,1990
1916,1974,1990
1917,1973,1989
1918,1970,1987
1919,1971,1989
1920,1972,1994
1921,1984,1994
1922,1992,1994
1923,2003,2015
1924,2005,2015
1925,2006,2007
1926,1979,1988
1927,1985,1989
1928,1984,1988
1929,1978,1991
1930,1978,1991
1931,1971,1994
1932,1971,1994
1933,1971,1994
1934,1978,1994
1935,1977,1994
1936,1972,1994
1937,1972,1991
1938,1974,1993
1939,1972,1993
1940,1972,1993
1941,1974,1993
1942,1985,1990
1943,1978,1991
1944,1977,1991
1945,1970,1994
1946,1970,1994
1947,1972,1993
1948,1970,1993
1949,1972,1994
1950,1970,1994
1951,1970,1994
1952,1973,1994
1953,1972,1994
1954,1974,1994
1955,1974,1994
1956,1974,1994
1957,1979,1986
1958,1974,1981
1959,1982,1994
1960,1995,2016
1961,1999,2013
1962,1983,1994
1963,1983,1994
1964,1970,1994
1965,1970,1990
1966,1970,1990
1967,1970,1983
1968,1971,1990
1969,2013,2015
1970,1976,1990
1971,1978,1986
1972,2003,2013
1973,2005,2007
1974,2006,2016
1975,2006,2008
1976,2009,2015
1977,2009,2015
1978,2010,2016
1979,2010,2016
1980,1981,1991
1981,1971,1994
1982,1970,1994
1983,1970,1994
1984,1970,1994
1985,1977,1994
1986,1970,1994
1987,1972,1994
1988,1973,1994
1989,1971,1994
1990,1970,1994
1991,1970,1994
1992,1979,1994
1993,1971,2016
1994,1985,1994
1995,1995,2016
1996,1996,2012
1997,1984,1994
1998,2004,2005
1999,1992,1993
2000,1984,1994
2001,1985,1994
2002,1978,1994
2003,1984,1994
2004,1985,1993
2005,1983,1993
2006,1983,1990
2007,1985,1987
2008,1985,2016
2009,2004,2010
2010,2004,2010
2011,2009,2010
2012,2004,2010
2013,2005,2010
2014,2005,2010
2015,2009,2010
2016,2004,2010
2017,2008,2010
2018,2004,2010
2019,2008,2010
2020,2008,2010
2021,2009,2010
2022,2004,2010
2023,2004,2010
2024,2009,2010
2025,2004,2010
2026,2004,2010
2027,2005,2010
2028,2004,2010
2029,2005,2010
2030,2009,2010
2031,2004,2010
2032,2006,2010
2033,2005,2009
2034,2004,2010
2035,2007,2010
2036,2004,2010
2037,2008,2010
2038,2004,2010
2039,2007,2010
2040,2004,2010
2041,2009,2010
2042,2005,2010
2043,2004,2010
2044,1985,1990
2045,2011,2014
2046,2011,2014
2047,2011,2014
2048,2011,2014
2049,2011,2014
2050,2011,2014
2051,2011,2014
2052,2011,2014
2053,2011,2014
2054,2011,2014
2055,2011,2014
2056,2011,2014
2057,2011,2014
2058,2011,2014
2059,2011,2014
2060,2011,2014
2061,2011,2014
2062,2011,2014
2063,2011,2014
2064,2011,2014
2065,2011,2014
2066,2011,2014
2067,2011,2014
2068,2011,2014
2069,2011,2014
2070,2011,2014
2071,2011,2014
2072,2011,2014
2073,2011,2014
2074,2011,2014
2075,2011,2014
2076,2011,2014
2077,2011,2014
2078,2011,2014
2079,1970,1994
2080,1973,1994
2081,1970,1994
2082,1975,1994
2083,1978,1994
2084,1974,1994
2085,1974,1994
2086,1970,1994
2087,1970,1994
2088,1970,1994
2089,1971,1994
2090,1981,1993
2091,1974,2016
2092,1970,1981
2093,1982,1994
2094,1995,2016
2095,1970,1981
2096,1982,1994
2097,1995,2016
2098,2004,2010
2099,2004,2009
2100,2005,2009
2101,2008,2010
2102,2004,2010
2103,2008,2010
2104,2005,2009
2105,2008,2010
2106,2004,2010
2107,2006,2010
2108,2009,2010
2109,2006,2010
2110,2005,2007
2111,2004,2009
2112,2004,2010
2113,2006,2010
2114,2005,2008
2115,2004,2008
2116,1972,1984
2117,1995,2016
2118,2011,2014
2119,2011,2014
2120,2011,2014
2121,2011,2014
2122,2011,2014
2123,2011,2014
2124,2011,2014
2125,2011,2014
2126,2011,2014
2127,2006,2015
2128,2001,2015
2129,2007,2010
2130,2005,2007
2131,2007,2009
2132,2007,2008
2133,2008,2010
2134,2004,2006
2135,2004,2010
2136,2005,2008
2137,2007,2010
2138,2007,2008
2139,2007,2010
2140,2007,2010
2141,2005,2008
2142,2005,2010
2143,2004,2010
2144,2005,2010
2145,2011,2014
2146,2011,2014
2147,2011,2014
2148,2011,2014
2149,2011,2014
2150,2011,2014
2151,2011,2014
2152,2011,2014
2153,2006,2010
2154,2014,2015
2155,2001,2004
2156,2000,2003
2157,2001,2004
2158,2008,2012
2159,2008,2010
2160,2008,2009
2161,2011,2013
2162,2011,2013
2163,2010,2011
2164,2010,2011
2165,2010,2011
2166,2010,2011
2167,2010,2011
2168,2009,2013
2169,1999,2013
2170,2010,2013
2171,2001,2013
2172,2008,2009
2173,2008,2010
2174,2008,2009
2175,2009,2010
2176,2011,2014
2177,2011,2014
2178,2011,2014
2179,2005,2015
2180,1994,1998
2181,2005,2010
2182,2004,2010
2183,2004,2006
2184,2009,2010
2185,2005,2007
2186,2008,2010
2187,2005,2007
2188,2004,2010
2189,2006,2010
2190,2007,2010
2191,2006,2007
2192,2005,2008
2193,2004,2010
2194,1978,1991
2195,1978,1991
2196,1971,1994
2197,1970,1991
2198,1972,1994
2199,1976,1994
2200,1986,1994
2201,1970,1994
2202,1981,1994
2203,1976,1994
2204,1980,1994
2205,1972,1993
2206,1971,2016
2207,2011,2014
2208,2011,2014
2209,2006,2016
2210,2006,2016
2211,2002,2003
2212,1977,1982
2213,1978,1994
2214,1980,1994
2215,1974,1993
2216,1974,1987
2217,1982,1987
2218,1985,1994
2219,1978,1991
2220,1978,1991
2221,1970,1994
2222,1970,1994
2223,1971,1994
2224,1970,1994
2225,1971,1994
2226,1970,1994
2227,1973,1994
2228,1970,1994
2229,1970,1994
2230,1970,1994
2231,1970,1994
2232,1970,1994
2233,1971,2016
2234,1970,1981
2235,1982,1994
2236,1995,2016
2237,1970,1975
2238,1983,1991
2239,1995,2016
2240,1978,1987
2241,1978,1988
2242,1973,1988
2243,1970,1993
2244,1973,1993
2245,1973,1993
2246,1985,1994
2247,1972,1993
2248,1983,1993
2249,1983,1987
2250,2010,2011
2251,1988,1989
2252,1992,2011
2253,1992,2012
2254,1992,2011
2255,2004,2012
2256,2004,2005
2257,2004,2006
2258,1989,2012
2259,1965,1981
2260,1975,1988
2261,2008,2011
2262,1978,1985
2263,1985,1994
2264,1986,1994
2265,1984,1994
2266,1982,1990
2267,1979,1994
2268,1985,2015
2269,1985,1994
2270,1995,2016
2271,1995,2016
2272,1998,2009
2273,2007,2012
2274,2004,2005
2275,2004,2005
2276,2004,2010
2277,2005,2008
2278,2008,2010
2279,2004,2006
2280,2005,2008
2281,2007,2008
2282,2004,2005
2283,1970,1994
2284,2011,2014
2285,1983,1994
2286,1984,1994
2287,1983,1994
2288,1983,1994
2289,1971,1994
2290,1970,1994
2291,1970,1994
2292,1971,1994
2293,1981,1992
2294,1971,2016
2295,1970,1981
2296,1982,1994
2297,1995,2016
2298,1972,1981
2299,1982,1994
2300,1995,2016
2301,2007,2012
2302,2005,2010
2303,2004,2010
2304,2009,2010
2305,2004,2010
2306,2007,2010
2307,2005,2010
2308,2009,2010
2309,2004,2010
2310,2008,2010
2311,2004,2010
2312,2008,2010
2313,2008,2010
2314,2006,2010
2315,2004,2010
2316,2004,2010
2317,2009,2010
2318,2004,2010
2319,2004,2010
2320,2005,2010
2321,2004,2010
2322,2005,2010
2323,2009,2010
2324,2004,2010
2325,2006,2010
2326,2005,2009
2327,2004,2010
2328,2007,2010
2329,2004,2010
2330,2008,2010
2331,2004,2010
2332,2007,2010
2333,2004,2010
2334,2005,2010
2335,2004,2010
2336,2011,2014
2337,2011,2014
2338,2011,2014
2339,2011,2014
2340,2011,2014
2341,2011,2014
2342,2011,2014
2343,2011,2014
2344,2011,2014
2345,2011,2014
2346,2011,2014
2347,2011,2014
2348,2011,2014
2349,2011,2014
2350,2011,2014
2351,2011,2014
2352,2011,2014
2353,2011,2014
2354,2011,2014
2355,2011,2014
2356,2011,2014
2357,2011,2014
2358,2011,2014
2359,2011,2014
2360,2011,2014
2361,2011,2014
2362,2011,2014
2363,2011,2014
2364,2011,2014
2365,2011,2014
2366,2005,2015
2367,2003,2013
2368,2005,2015
2369,1978,1991
2370,1978,1984
2371,1979,1993
2372,1980,1986
2373,2007,2015
2374,2008,2014
2375,2006,2016
2376,2006,2012
2377,2009,2013
2378,2007,2011
2379,2014,2016
2380,1987,1990
2381,1987,1990
2382,1987,1990
2383,1987,1990
2384,1987,1990
2385,1987,1990
2386,1987,1990
2387,1987,1990
2388,1987,1990
2389,1987,1990
2390,1987,1990
2391,2003,2013
2392,1979,1988
2393,1978,1988
2394,1973,1993
2395,1970,1993
2396,1988,1994
2397,1971,1994
2398,1974,1991
2399,1973,1992
2400,1978,1990
2401,1978,1989
2402,1978,1991
2403,1977,1991
2404,1970,1994
2405,1970,1994
2406,1970,1994
2407,1970,1994
2408,1973,1994
2409,1970,1994
2410,1970,1994
2411,1973,1994
2412,1970,1994
2413,1970,1994
2414,1970,1994
2415,1970,1994
2416,1971,1992
2417,1971,2016
2418,1970,1981
2419,1983,1994
2420,1995,2016
2421,1995,2014
2422,1982,1987
2423,2007,2012
2424,2005,2015
2425,2005,2015
2426,2004,2016
2427,2008,2016
2428,2010,2014
2429,2007,2012
2430,2006,2016
2431,2006,2016
2432,2006,2016
2433,2006,2016
2434,1993,1996
2435,2008,2017
2436,1984,2003
2437,2005,2015
2438,2004,2016
2439,2012,2015
2440,2008,2012
2441,2013,2016
2442,2007,2014
2443,1985,2008
2444,2003,2004
2445,2006,2009
2446,2005,2007
2447,1973,1988
2448,1975,1986
2449,1984,1992
2450,1970,1994
2451,1982,1990
2452,1972,1987
2453,1970,1994
2454,1970,1994
2455,1986,1993
2456,1971,2016
2457,1970,1981
2458,1982,1994
2459,1995,2016
2460,1970,1980
2461,1984,1994
2462,1995,2016
2463,1979,1990
2464,1978,1989
2465,1979,1993
2466,2004,2009
2467,2005,2008
2468,2005,2010
2469,2005,2006
2470,2005,2009
2471,2004,2009
2472,2006,2009
2473,2009,2010
2474,1980,1987
2475,1970,1994
2476,1971,1993
2477,1979,1992
2478,1984,1993
2479,1974,2016
2480,1977,1981
2481,1982,1984
2482,1995,2016
2483,1996,2016
2484,2011,2014
2485,2011,2014
2486,2007,2013
2487,2003,2015
2488,2005,2015
2489,2004,2016
2490,2006,2016
2491,1988,2002
2492,1973,1985
2493,1999,2014
2494,2001,2014
2495,1985,2015
2496,2004,2015
2497,2004,2010
2498,1971,1973
2499,1990,1992
2500,2000,2004
2501,1997,2005
2502,1993,2005
2503,1995,1999
2504,1995,2000
2505,1995,2000
2506,1995,2000
2507,1994,1999
2508,1994,1999
2509,1994,1999
2510,1994,2000
2511,2000,2003
2512,2000,2001
2513,2013,2017
2514,2005,2011
2515,1983,2008
2516,1970,1980
2517,1974,1987
2518,1972,1990
2519,1970,1983
2520,1970,1983
2521,1970,1994
2522,1986,1993
2523,1970,1980
2524,2005,2013
2525,2005,2015
2526,2004,2016
2527,2007,2014
2528,2002,2016
2529,1970,1978
2530,1983,1994
2531,1995,2016
2532,2015,2017
2533,2014,2016
2534,2014,2016
2535,2007,2015
2536,2003,2013
2537,2006,2012
2538,2006,2016
2539,2006,2016
2540,2003,2015
2541,2005,2011
2542,2006,2016
2543,2008,2012
2544,2013,2016
2545,1972,2002
2546,1987,2017
2547,1984,2003
2548,2003,2015
2549,2003,2015
2550,2006,2014
2551,2005,2015
2552,2004,2016
2553,2006,2016
2554,2012,2015
2555,2004,2016
2556,2006,2016
2557,2012,2015
2558,2011,2012
2559,1995,2016
2560,1984,2012
2561,2001,2015
2562,2006,2012
2563,1999,2012
2564,1989,2012
2565,1965,1981
2566,2006,2015
2567,2008,2015
2568,2001,2015
2569,2007,2015
2570,2009,2013
2571,1978,1988
2572,1977,1991
2573,1970,1994
2574,1970,1993
2575,1970,1993
2576,1976,1994
2577,1972,1993
2578,1970,1994
2579,1972,1993
2580,1973,1989
2581,1983,1991
2582,1989,1991
2583,1979,1988
2584,1978,1987
2585,1971,1994
2586,1978,1994
2587,1979,1994
2588,1976,1994
2589,1982,1987
2590,1982,1987
2591,1985,1987
2592,1974,1987
2593,1974,1987
2594,1978,1990
2595,1970,1981
2596,1976,1994
2597,1982,1987
2598,1982,1986
2599,1985,1987
2600,2007,2012
2601,2007,2012
2602,1973,1994
2603,1973,1994
2604,2003,2013
2605,2008,2012
2606,2006,2016
2607,2012,2016
2608,2007,2012
2609,2007,2012
2610,2008,2012
2611,2007,2012
2612,1997,2016
2613,1981,1993
2614,1981,1994
2615,1981,1993
2616,1974,1994
2617,1980,1993
2618,1982,1987
2619,1975,1987
2620,1978,1988
2621,1978,1988
2622,1970,1994
2623,1970,1994
2624,1970,1994
2625,1974,1991
2626,1982,1987
2627,1985,1987
2628,2004,2010
2629,2007,2010
2630,2007,2010
2631,2008,2010
2632,2008,2009
2633,2004,2010
2634,2004,2010
2635,2009,2010
2636,2005,2010
2637,2006,2010
2638,2005,2010
2639,2004,2010
2640,2009,2010
2641,2007,2010
2642,2007,2010
2643,2006,2010
2644,2006,2010
2645,2006,2010
2646,2004,2010
2647,2011,2014
2648,2011,2014
2649,2011,2014
2650,2011,2014
2651,2011,2014
2652,2011,2014
2653,2011,2014
2654,2011,2014
2655,2006,2016
2656,2007,2014
2657,2004,2010
2658,2004,2010
2659,2004,2010
2660,2009,2010
2661,2005,2010
2662,2008,2010
2663,2004,2010
2664,2004,2010
2665,2005,2007
2666,2004,2010
2667,2005,2010
2668,2004,2010
2669,2006,2010
2670,2006,2010
2671,2007,2009
2672,2004,2010
2673,2007,2010
2674,2004,2007
2675,2004,2010
2676,2008,2010
2677,2007,2010
2678,2005,2010
2679,2004,2010
2680,1970,1994
2681,1971,1994
2682,1971,1993
2683,1984,1993
2684,1972,2016
2685,1972,1973
2686,1989,1993
2687,1995,2016
2688,1971,1979
2689,1982,1992
2690,1996,2016
2691,2011,2014
2692,2011,2014
2693,2011,2014
2694,2011,2014
2695,2011,2014
2696,2011,2014
2697,2011,2014
2698,2011,2014
2699,1996,2014
2700,2003,2007
2701,1978,1988
2702,1978,1991
2703,1970,1994
2704,1984,1988
2705,1984,1988
2706,1984,1988
2707,1984,1988
2708,1982,1992
2709,1974,1991
2710,1998,2009
2711,2005,2015
2712,2011,2013
2713,2011,2015
2714,2010,2016
2715,1978,1981
2716,1971,1985
2717,1971,1985
2718,1973,1991
2719,1975,1984
2720,1975,1986
2721,1984,1994
2722,1985,1994
2723,1970,1994
2724,1970,1994
2725,1970,1994
2726,1970,1994
2727,1970,1994
2728,1980,1985
2729,1980,1993
2730,1971,2016
2731,1971,1974
2732,1982,1994
2733,1995,2016
2734,1974,1978
2735,1982,1993
2736,1995,2016
2737,2005,2011
2738,1971,1991
2739,1977,1989
2740,1970,1993
2741,1980,1994
2742,1974,1994
2743,1991,1993
2744,1972,2014
2745,1982,1987
2746,1979,1993
2747,1973,1994
2748,1980,1993
2749,1984,1993
2750,1982,1994
2751,1995,2016
2752,1982,1994
2753,1995,2016
2754,1991,2012
2755,1987,1990
2756,1987,1990
2757,1987,1990
2758,1987,1990
2759,1987,1990
2760,1987,1990
2761,1987,1990
2762,1987,1990
2763,1987,1990
2764,1987,1990
2765,1987,1990
2766,2007,2012
2767,2005,2013
2768,2007,2008
2769,2011,2015
2770,2006,2016
2771,2006,2016
2772,2004,2005
2773,1978,1994
2774,1984,1993
2775,1985,2016
2776,1995,2016
2777,1972,1994
2778,1970,1994
2779,1972,1987
2780,1973,1994
2781,1970,1994
2782,1970,1994
2783,1970,1994
2784,1972,1994
2785,1980,1993
2786,1971,2016
2787,1970,1981
2788,1982,1994
2789,1995,2016
2790,1970,1981
2791,1982,1994
2792,1995,2016
2793,1971,2016
2794,1978,1988
2795,1975,1994
2796,1978,1994
2797,1974,1994
2798,1979,2004
2799,1971,2013
2800,2004,2010
2801,2006,2009
2802,2005,2010
2803,2008,2009
2804,2008,2010
2805,2004,2009
2806,2004,2005
2807,2004,2010
2808,2009,2010
2809,2006,2010
2810,2004,2010
2811,2005,2006
2812,2004,2009
2813,2011,2014
2814,2011,2014
2815,2011,2014
2816,2011,2014
2817,2011,2014
2818,2006,2017
2819,2006,2017
2820,2004,2010
2821,2004,2010
2822,2009,2010
2823,2004,2010
2824,2005,2010
2825,2005,2010
2826,2009,2010
2827,2004,2010
2828,2008,2010
2829,2004,2010
2830,2008,2010
2831,2008,2010
2832,2006,2010
2833,2004,2010
2834,2004,2010
2835,2009,2010
2836,2004,2010
2837,2004,2010
2838,2005,2010
2839,2004,2010
2840,2005,2010
2841,2009,2010
2842,2004,2010
2843,2006,2010
2844,2005,2009
2845,2004,2010
2846,2007,2010
2847,2004,2010
2848,2008,2010
2849,2004,2010
2850,2007,2010
2851,2004,2010
2852,2009,2010
2853,2005,2010
2854,2004,2010
2855,2011,2014
2856,2011,2014
2857,2011,2014
2858,2011,2014
2859,2011,2014
2860,2011,2014
2861,2011,2014
2862,2011,2014
2863,2011,2014
2864,2011,2014
2865,2011,2014
2866,2011,2014
2867,2011,2014
2868,2011,2014
2869,2011,2014
2870,2011,2014
2871,2011,2014
2872,2011,2014
2873,2011,2014
2874,2011,2014
2875,2011,2014
2876,2011,2014
2877,2011,2014
2878,2011,2014
2879,2011,2014
2880,2011,2014
2881,2011,2014
2882,2011,2014
2883,2011,2014
2884,2011,2014
2885,2011,2014
2886,2011,2014
2887,2011,2014
2888,2011,2014
2889,2006,2017
2890,2006,2017
2891,1984,2003
2892,2003,2015
2893,2005,2015
2894,2004,2016
2895,2006,2016
2896,2012,2015
2897,2012,2015
2898,2006,2016
2899,2004,2016
2900,2005,2017
2901,2003,2017
2902,1970,1994
2903,1956,2005
2904,1970,2002
2905,2003,2015
2906,2005,2015
2907,2004,2016
2908,2006,2016
2909,2012,2015
2910,2004,2016
2911,2006,2016
2912,2012,2015
2913,1959,2013
2914,1983,2008
2915,1983,2008
2916,1995,2010
2917,1974,2010
2918,1962,2011
2919,1950,2009
2920,1978,1999
2921,1958,2007
2922,1983,2015
2923,1970,2011
2924,1974,2010
2925,1983,2011
2926,1970,2011
2927,1970,2002
2928,1980,2008
2929,1978,1991
2930,1978,1991
2931,1970,1994
2932,1970,1994
2933,1970,1994
2934,1970,1994
2935,1971,1994
2936,1970,1994
2937,1970,1994
2938,1972,1994
2939,1970,1994
2940,1970,1994
2941,1970,1994
2942,1970,1994
2943,1970,1994
2944,1971,1994
2945,1980,1993
2946,1971,2016
2947,1970,1981
2948,1982,1994
2949,1995,2016
2950,1970,1981
2951,1982,1994
2952,1995,2016
2953,2007,2016
2954,2015,2017
2955,1992,2016
2956,1992,2016
2957,1992,2016
2958,2014,2016
2959,2014,2016
2960,2014,2016
2961,1993,1997
2962,2004,2010
2963,2004,2010
2964,2009,2010
2965,2004,2010
2966,2005,2010
2967,2005,2010
2968,2009,2010
2969,2004,2010
2970,2008,2010
2971,2004,2010
2972,2008,2010
2973,2008,2010
2974,2006,2010
2975,2004,2010
2976,2004,2010
2977,2009,2010
2978,2004,2010
2979,2004,2010
2980,2005,2010
2981,2004,2010
2982,2005,2010
2983,2009,2010
2984,2004,2010
2985,2006,2010
2986,2005,2009
2987,2004,2010
2988,2007,2010
2989,2004,2010
2990,2008,2010
2991,2004,2010
2992,2007,2010
2993,2004,2010
2994,2009,2010
2995,2005,2010
2996,2004,2010
2997,1986,1994
2998,1988,1994
2999,1972,1994
3000,1979,1983
3001,1972,2016
3002,2011,2014
3003,2011,2014
3004,2011,2014
3005,2011,2014
3006,2011,2014
3007,2011,2014
3008,2011,2014
3009,2011,2014
3010,2011,2014
3011,2011,2014
3012,2011,2014
3013,2011,2014
3014,2011,2014
3015,2011,2014
3016,2011,2014
3017,2011,2014
3018,2011,2014
3019,2011,2014
3020,2011,2014
3021,2011,2014
3022,2011,2014
3023,2011,2014
3024,2011,2014
3025,2011,2014
3026,2011,2014
3027,2011,2014
3028,2011,2014
3029,2011,2014
3030,2011,2014
3031,2011,2014
3032,2011,2014
3033,2011,2014
3034,2011,2014
3035,2008,2017
3036,2008,2017
3037,2005,2016
3038,2005,2016
3039,2005,2016
3040,2005,2016
3041,1971,2016
3042,1995,2017
3043,2002,2011
3044,1993,2013
3045,1983,1993
3046,1987,2011
3047,1987,2011
3048,1987,2011
3049,1983,2013
3050,1970,1994
3051,1970,1994
3052,1970,1994
3053,1970,1994
3054,1971,1994
3055,1970,1994
3056,1970,1994
3057,1972,1994
3058,1970,1994
3059,1970,1994
3060,1970,1994
3061,1970,1994
3062,1970,1994
3063,1971,1994
3064,1971,2016
3065,1970,1981
3066,1982,1994
3067,1995,2016
3068,2014,2016
3069,2014,2016
3070,1984,2003
3071,2003,2015
3072,2005,2015
3073,2004,2016
3074,2006,2016
3075,2012,2015
3076,2004,2016
3077,2006,2016
3078,2012,2015
3079,2005,2015
3080,2013,2016
3081,2003,2015
3082,2007,2015
3083,2007,2016
3084,1989,2003
3085,2003,2015
3086,2005,2015
3087,2004,2016
3088,2008,2012
3089,2013,2016
3090,2004,2016
3091,2001,2006
3092,2012,2015
3093,2012,2015
3094,1984,2003
3095,2003,2015
3096,2005,2015
3097,2004,2016
3098,2008,2010
3099,2012,2015
3100,2004,2016
3101,2012,2015
3102,1970,2010
3103,1987,2010
3104,1960,2010
3105,1978,2009
3106,1983,2010
3107,1967,2010
3108,1979,2003
3109,1978,1991
3110,1977,1991
3111,1970,1993
3112,1970,1993
3113,1970,1993
3114,1970,1993
3115,1972,1993
3116,1970,1993
3117,1970,1993
3118,1972,1993
3119,1970,1993
3120,1970,1993
3121,1970,1993
3122,1970,1993
3123,1970,1993
3124,1971,1993
3125,1984,1993
3126,1971,2016
3127,1970,1981
3128,1982,1994
3129,1995,2016
3130,1970,1981
3131,1982,1994
3132,1995,2016
3133,2014,2016
3134,2014,2016
3135,1985,2012
3136,1990,2012
3137,1998,2010
3138,1978,1988
3139,1978,1988
3140,1974,1994
3141,1973,1994
3142,1971,1993
3143,1970,1994
3144,1971,1994
3145,1970,1994
3146,1971,1994
3147,1973,1994
3148,1980,1994
3149,1977,1994
3150,1970,1994
3151,1970,1994
3152,1970,1994
3153,1979,1990
3154,1980,1992
3155,1980,2016
3156,1970,1981
3157,1982,1994
3158,1995,2016
3159,1970,1981
3160,1982,1994
3161,1995,2016
3162,2014,2016
3163,1984,2003
3164,2003,2015
3165,2005,2015
3166,2004,2016
3167,2006,2016
3168,2004,2016
3169,2006,2016
3170,2002,2007
3171,2003,2015
3172,2005,2015
3173,2004,2016
3174,2006,2016
3175,2012,2015
3176,2004,2016
3177,2006,2016
3178,2012,2015
3179,2003,2015
3180,2005,2015
3181,2004,2016
3182,2012,2015
3183,2004,2016
3184,2012,2015
3185,1984,2003
3186,2003,2013
3187,2005,2015
3188,2006,2016
3189,2002,2003
3190,1970,2016
3191,1972,2017
3192,2001,2007
3193,1995,2016
3194,2000,2007
3195,1995,2016
3196,2004,2010
3197,1971,1974
3198,1997,2005
3199,1993,2005
3200,2000,2001
3201,1999,2016
3202,1950,2001
3203,1970,2001
3204,2003,2015
3205,2005,2015
3206,2004,2016
3207,2012,2015
3208,1970,2012
3209,2004,2016
3210,2012,2015
3211,1984,2012
3212,2006,2012
3213,1992,2012
3214,2006,2014
