ID,min_year,max_year
399,1970,1994
400,1970,1994
401,1971,1994
402,1970,1994
403,1971,1994
404,1955,1980
405,1966,1976
406,1972,1994
407,1971,1994
408,1970,1994
409,1970,1994
410,1970,1994
411,1970,1994
412,1972,1993
413,1980,1993
414,1971,2016
415,1970,1981
416,1982,1994
417,1995,2016
418,1970,1981
419,1999,2001
420,1999,2001
421,1988,1998
422,1982,1994
423,1995,2016
424,2000,2003
425,2000,2003
426,2014,2016
427,1983,2001
428,1952,1995
429,1952,1995
430,1952,1995
431,1952,1995
432,2014,2016
433,1970,2016
434,2007,2016
435,1970,2016
436,2007,2016
437,1970,2016
438,2007,2016
439,1998,1999
440,1995,2005
441,1995,2004
442,1995,2006
443,2001,2016
444,2000,2003
445,1976,1977
446,2001,2016
447,1983,1984
448,1952,1995
449,2002,2016
450,2002,2017
451,1965,1975
452,1965,1975
453,1965,1975
454,2002,2016
455,1965,1974
456,2002,2016
457,1965,1972
458,2016,2017
459,1965,1974
460,1965,1974
461,1989,1990
462,2001,2005
463,2000,2017
464,2000,2016
465,2003,2012
466,2000,2017
467,2003,2008
468,1995,2002
469,1960,2009
470,2004,2008
471,1993,2010
472,1993,2010
473,1993,2007
474,1989,2012
475,1972,2012
476,1952,2012
477,1970,2009
478,1985,2012
479,1971,2011
480,1975,1998
481,1992,2012
482,1975,2008
483,2005,2010
484,1978,2007
485,1990,2012
486,2004,2010
487,2004,2009
488,2004,2009
489,1998,2004
490,2008,2010
491,2004,2010
492,2005,2010
493,2004,2009
494,2005,2010
495,2005,2006
496,2006,2009
497,1999,2005
498,1999,2005
499,1997,2006
500,1997,2006
501,1997,2006
502,1998,2005
503,1998,2004
504,1998,2004
505,2000,2006
506,2000,2006
507,2000,2006
508,1999,2006
509,2004,2010
510,1999,2006
511,2007,2010
512,2004,2010
513,2001,2015
514,2014,2015
515,2011,2014
516,2011,2014
517,2011,2014
518,2011,2014
519,2015,2016
520,1978,2004
521,2006,2017
522,2006,2017
523,1965,2010
524,2003,2015
525,2005,2015
526,1984,2003
527,1986,2003
528,1997,1998
529,1995,1999
530,1995,1999
531,1995,1998
532,1974,2003
533,1974,1993
534,2004,2016
535,2006,2016
536,2012,2015
537,2004,2016
538,2006,2016
539,2012,2015
540,1996,1998
541,1996,1998
542,1995,1999
543,1995,1999
544,1995,1998
545,1995,1998
546,1995,1998
547,2006,2016
548,2006,2016
549,2004,2010
550,2004,2010
551,2009,2010
552,2004,2010
553,2005,2010
554,2005,2010
555,2009,2010
556,2004,2010
557,2008,2010
558,2004,2010
559,2008,2010
560,2008,2010
561,2006,2010
562,2004,2010
563,2004,2010
564,2009,2010
565,1987,1994
566,2004,2010
567,2004,2010
568,2005,2010
569,1998,2002
570,1998,2002
571,1998,2001
572,1986,1991
573,1985,1994
574,1985,1994
575,2004,2010
576,2005,2010
577,2009,2010
578,2004,2010
579,2006,2010
580,2005,2009
581,2004,2010
582,2007,2010
583,2004,2010
584,1997,2000
585,2008,2010
586,2004,2010
587,2007,2010
588,2004,2010
589,2009,2010
590,1986,1992
591,1998,2002
592,1998,2002
593,1991,1999
594,2005,2010
595,2004,2010
596,2011,2014
597,2011,2014
598,2011,2014
599,2011,2014
600,2011,2014
601,2011,2014
602,2011,2014
603,2011,2014
604,2011,2014
605,2011,2014
606,2011,2014
607,2011,2014
608,2011,2014
609,1986,1994
610,1993,2002
611,1983,1996
612,1982,1997
613,1990,1996
614,1991,1996
615,2011,2014
616,1966,1976
617,1979,1987
618,2011,2014
619,1966,1976
620,1972,1991
621,1961,1992
622,1974,2000
623,1972,1991
624,1966,1976
625,1970,1980
626,2011,2014
627,2011,2014
628,2011,2014
629,2011,2014
630,2011,2014
631,1970,1985
632,1970,1985
633,2011,2014
634,2011,2014
635,1990,2000
636,2011,2014
637,1980,1996
638,2011,2014
639,2011,2014
640,2011,2014
641,2011,2014
642,2011,2014
643,1973,1986
644,1978,2000
645,2011,2014
646,1985,1993
647,2011,2014
648,2011,2014
649,2008,2017
650,2006,2017
651,1978,1993
652,2004,2013
653,2004,2016
654,2006,2016
655,2012,2015
656,2004,2016
657,2006,2016
658,2012,2015
659,1994,2017
660,1970,2014
661,1984,2003
662,2003,2015
663,2005,2015
664,2004,2016
665,2006,2016
666,2012,2015
667,2003,2013
668,1996,2003
669,2005,2013
670,2004,2014
671,2004,2016
672,2006,2016
673,2012,2015
674,2008,2012
675,2013,2014
676,1970,2016
677,2007,2016
678,1970,2016
679,2007,2016
680,2004,2015
681,2007,2015
682,1970,2016
683,1970,2016
684,1971,2016
685,1971,2016
686,1970,2016
687,1987,2016
688,1972,2016
689,1978,2010
690,1970,2016
691,1970,2016
692,1970,2016
693,1975,2016
694,2008,2012
695,1975,2016
696,1970,2016
697,1970,2016
698,1970,2016
699,1970,2016
