"LPI_final" "CI_low" "CI_high"
"1950" 1 1 1
"1951" 1.02008968252205 0.751993376863607 1.46087718972915
"1952" 1.10965649496543 0.7885755387424 1.7502343874208
"1953" 1.0583725597127 0.694640396205101 1.7616067455406
"1954" 1.0440373224196 0.699450126562598 1.74504298388479
"1955" 0.921575683180948 0.579489220903639 1.55394645162807
"1956" 1.00323933045495 0.630743825503393 1.72155895051605
"1957" 0.985103042368924 0.622536996473219 1.71378131582927
"1958" 0.996999300337123 0.633145914464215 1.81348488961111
"1959" 0.966158511023456 0.598866832729278 1.75038910236899
"1960" 0.915138051888917 0.556125729810555 1.64530241864822
"1961" 0.890633957203969 0.519233536141009 1.73779726202455
"1962" 0.868037075308 0.500632295269507 1.64789994175433
"1963" 0.908005504201835 0.51337091182483 1.76120440820697
"1964" 0.855288588714488 0.486565326175702 1.67958777449042
"1965" 0.858403485426529 0.48151137392253 1.67030479843744
"1966" 0.8671828165986 0.477524099032194 1.67129316218669
"1967" 0.829304270009764 0.437609160532792 1.52252160868594
"1968" 0.88993520851784 0.460686109713237 1.64981248194287
"1969" 0.860890979931993 0.452306301794624 1.6321576946761
"1970" 0.891291950208534 0.492572675020053 1.70687438831427
"1971" 0.925466087040753 0.512929788609513 1.75323022669668
"1972" 0.956981438126927 0.530302787027893 1.83147209347066
"1973" 0.999707187546542 0.555145490183808 1.90965478881315
"1974" 0.997559262926103 0.555505434936381 1.91720972532295
"1975" 0.982997290427774 0.54858723504503 1.90739202443169
"1976" 0.961778893256909 0.540962883549551 1.86339774389013
"1977" 0.966578191098987 0.547197166121498 1.86715838631668
"1978" 0.958025569074511 0.531017704238634 1.87383498042031
"1979" 0.949939194464886 0.526845372477466 1.859990664654
"1980" 0.937146949710537 0.525498733707287 1.83440995570493
"1981" 0.922254473356896 0.520238794659262 1.80311153347659
"1982" 0.914595282407537 0.513606267833405 1.79475836769383
"1983" 0.907700687368695 0.50836636087708 1.7941919064355
"1984" 0.916733533022136 0.516295196352918 1.821010965225
"1985" 0.943567057247944 0.534277363810383 1.88893050321475
"1986" 0.933745192347124 0.522578808764588 1.89196579527914
"1987" 0.918449956115091 0.51673388817297 1.86776659518424
"1988" 0.919922665585783 0.519380416653855 1.85304970163799
"1989" 0.904782201823291 0.516163220288414 1.82718652321489
"1990" 0.880903079838063 0.500036188916487 1.763006932651
"1991" 0.873744475174962 0.49588665271794 1.72895804612268
"1992" 0.829617531078431 0.462334388625178 1.63957087730434
"1993" 0.826572708987432 0.462117687973405 1.64623698433143
"1994" 0.810487013708199 0.448158580308861 1.59281351796208
"1995" 0.812046905161959 0.450527875011602 1.60533483302312
"1996" 0.817578350243785 0.447351974128222 1.62951813652713
"1997" 0.791092943278163 0.431770022544824 1.57948600387865
"1998" 0.775991883768951 0.424551089979103 1.55664832669372
"1999" 0.773902653365927 0.42515042371555 1.5571771274206
"2000" 0.766759032460486 0.415441855845723 1.56269416555757
"2001" 0.755732761795842 0.407932975418874 1.53469887612723
"2002" 0.733222275091593 0.39687829857687 1.46440250076071
"2003" 0.734047830657133 0.401444424842437 1.47919080994578
"2004" 0.74167542160239 0.405837360740824 1.48801806712358
"2005" 0.732001908355721 0.407314953706151 1.45331323981532
"2006" 0.699770047744591 0.384954111579206 1.40034975657275
"2007" 0.686542774937133 0.380136945462314 1.37011356732435
"2008" 0.714454545891736 0.399495726369213 1.42234775209022
"2009" 0.70972868514601 0.394230951113976 1.42809899828169
"2010" 0.70905261184154 0.396625909112044 1.4457837086852
"2011" 0.731976712533561 0.409501493002483 1.4869915313698
"2012" 0.722189583429063 0.402605540112606 1.46128736072618
"2013" 0.690188600328607 0.3783015994715 1.3921476413875
"2014" 0.657594748067306 0.361425376945645 1.32847993978921
"2015" 0.656051020867588 0.362240847346269 1.31159668355148
"2016" 0.665826205342097 0.37560124049259 1.33667005023719
"2017" 0.692478031494266 0.360818590925238 1.44249428704756
"2018" 0.769363431745941 0.37662090741549 1.75941913316976
"2019" 0.746585261933801 0.365470474954144 1.70732886460173
"2020" -99 NA NA
"2021" -99 NA NA
