"","SpeciesSSet","Freq","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Acanthis_flammea_1040","Acanthis_flammea_1040",42,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0146828567532556,-0.0146800210573678,-0.0146710387833158,-0.0146515568722326,-0.0146194109180965,-0.0145767684913699,-0.0145273123970914,-0.0144709114235453,-0.0144028544005212,-0.0143181060759203,-0.014213598529895,-0.0140864709205506,-0.0139344888283959,-0.0137602812004733,-0.0135710101968597,-0.0133700711760314,-0.0131523398720864,-0.012912810055789,-0.0126583971414984,-0.0124055549882515,-0.0121660846283414,-0.011940491604568,-0.0117258532360011,-0.0115236102299673,-0.0113358173693824,-0.011158497962469,-0.0109840097512742,-0.010808120332743,-0.010631316115955,-0.0104560889798846,-0.0102877694479574,-0.010135744388904,-0.0100076231854104,-0.00990242557462978,-0.00981520183323675,-0.00974830003861854,-0.00971076950416228,-0.00970386942361173,-0.00971372105944041,-0.00972316845192156,-0.00972631848351163,NA,NA,NA,NA,NA
"Accipiter_cooperii_958","Accipiter_cooperii_958",47,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0150111666913511,-0.0134150899106129,-0.0103858867265301,-0.00659100235696575,-0.00293258124078877,-0.000417326852321986,0.00037891917050481,0.000198106976949441,0.000837877040823276,0.00325849131199507,0.00616645750871303,0.00720747812961742,0.00566367408664692,0.00344407225815502,0.00320647650717776,0.00584816708656843,0.0099894729951564,0.0135140771262867,0.0152627454819703,0.0154509849163362,0.0149418466595372,0.0143555397448614,0.013790712643766,0.01317319645689,0.0126037388677858,0.0122128402003732,0.0118601750537952,0.0113670206154664,0.011134424336273,0.0121213583470179,0.0147576001338157,0.017887881992193,0.0191854168732477,0.0169525922958662,0.011601101689799,0.00530070649516623,0.000121409656654858,-0.00347470092120727,-0.00633476129547472,-0.00905092693670251,-0.0111061752154407,-0.0117626395322776,-0.011387780616001,-0.0112527450640381,-0.0119688857363023,-0.0127908739256755,NA,NA,NA
"Accipiter_gentilis_957","Accipiter_gentilis_957",47,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0320489026975101,0.0314905692678255,0.0293607591530856,0.022429828551965,0.0171454297580174,0.00763766974588045,0.00137435077322079,-0.0020631605637734,-0.0034605321095065,-0.00208963265325651,0.00278394851961097,0.00688278243798421,0.00878758115195538,0.00729923874149943,0.00523252693367701,-0.00130223330524462,-0.00590885961052029,-0.0100303414909275,-0.0102674872381368,-0.00980706631230141,-0.0064235358972832,-0.00361011623182048,-0.00145249125994229,0,0.00145249125994229,0.000724427994332255,0,0,0,0.00072322161909591,0.00288090264972937,0.00428583559008533,0.00424395379068745,0.00350522065757702,0,-0.00280190960200286,-0.00708489581608091,-0.0108488859084724,-0.0141428009662891,-0.0161867610932752,-0.0176306102232292,-0.0175243449835327,-0.0182613169743162,-0.018136016408537,-0.0179603289397396,-0.0167246174219782,NA,NA,NA
"Accipiter_striatus_956","Accipiter_striatus_956",47,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00437261909995423,0.00744674325093331,0.0122428903311722,0.017086590742144,0.0214147143836922,0.0246631335481184,0.0253611184532705,0.0226847773090624,0.017810662018318,0.0126474187437176,0.00812303014514426,0.00462070425168171,0.00302878593017808,0.00407552987388371,0.00725529298051275,0.0114936332324926,0.0162789086386326,0.0211365347428338,0.0247330551631024,0.0258253187671007,0.0246857314833464,0.0223974486967145,0.0191593338868892,0.0145367579041062,0.00897391394420799,0.00362517202215629,-0.00104971015582911,-0.00497627676234091,-0.00691841965858231,-0.00513941550700037,-0.000107184376331393,0.00501405915263908,0.00726884262824634,0.00613139026533194,0.00248615361665583,-0.00290407916791713,-0.00891796753444996,-0.0135314653960437,-0.0152013756020899,-0.0140287105654642,-0.0105337785729245,-0.00430253685739124,0.00476786113038896,0.0146288056030739,0.0220730650139689,0.0255053903020894,NA,NA,NA
"Acipenser_brevirostrum_1106","Acipenser_brevirostrum_1106",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0183155845399492,-0.0183155845399492,-0.0183155845399492,-0.0183155845399492,-0.0127632006017619,-0.0127632006017624,NA,NA,NA,NA,NA,NA,NA,NA
"Acipenser_fulvescens_1107","Acipenser_fulvescens_1107",8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0550544362898453,0.0550544362898591,0.0550544362897991,0.055054436289562,0.0550544362891414,0.0550544362886876,0.0550544362884056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acipenser_fulvescens_381","Acipenser_fulvescens_381",16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0479308720416416,-0.045038500486103,-0.0393439891034729,-0.0321929539282126,-0.0253241187776871,-0.0194432869815322,-0.0138527453720806,-0.00768001061613577,-0.0015381149748771,0.00231640720771065,0.00178931594976039,-0.00303208272415878,-0.00970970372341018,-0.0152253031882347,-0.017940252408353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acipenser_medirostris_1108","Acipenser_medirostris_1108",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00551019026692323,0.00551019026692323,0.00551019026692323,0.00551019026692323,0.00551019026692323,0.00551019026692323,-0.0288720079778972,-0.0288720079778972,-0.305697195700486,-0.305697195700487,NA,NA,NA
"Acipenser_oxyrinchus_367","Acipenser_oxyrinchus_367",7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.620212253672418,0,-0.0107238653917731,-0.259637310505756,-0.020203386088287,0.39378404890088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acipenser_oxyrinchus_368","Acipenser_oxyrinchus_368",7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.050444394976125,-0.196294645143968,-0.0204893883916118,0.0587780005531862,0.266725764493996,-0.223172819184354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
