sample,System,Year,LPI_final,CI_high,CI_low
2,Global,1983,0.745568079231218,0.726691770061832,0.726691770061832
2,Global,1984,0.712623289001521,0.69707352696729,0.69707352696729
2,Global,1985,0.695260114863036,0.681136316769705,0.681136316769705
2,Global,1986,0.68186280455631,0.668384810535002,0.668384810535002
2,Global,1987,0.667646307437276,0.646957595276995,0.646957595276995
2,Global,1988,0.652341386193673,0.620856335380496,0.620856335380496
2,Global,1989,0.648092684684097,0.609856614946671,0.609856614946671
2,Global,1990,0.651083645872174,0.615222291049322,0.615222291049322
2,Global,1991,0.647033041320772,0.597099598748033,0.597099598748033
2,Global,1992,0.642092930427715,0.583457987120688,0.583457987120688
2,Global,1993,0.644890971461345,0.5772220254616,0.5772220254616
2,Global,1994,0.618194780325815,0.546471655190441,0.546471655190441
2,Global,1995,0.604435730247287,0.537573137705011,0.537573137705011
2,Global,1996,0.577144113514689,0.522529747068038,0.522529747068038
2,Global,1997,0.563658578402553,0.509726588824856,0.509726588824856
2,Global,1998,0.544619381195034,0.490620761036454,0.490620761036454
2,Global,1999,0.524927162001135,0.475606552271229,0.475606552271229
2,Global,2000,0.518181799620139,0.464603234437547,0.464603234437547
2,Global,2001,0.503699584199779,0.452986306198357,0.452986306198357
2,Global,2002,0.489170080666718,0.433828898150908,0.433828898150908
2,Global,2003,0.483463657864411,0.429764302458318,0.429764302458318
2,Global,2004,0.46841379479802,0.426444647864822,0.426444647864822
2,Global,2005,0.44049126555148,0.406705014596078,0.406705014596078
2,Global,2006,0.41992319416968,0.391023589977031,0.391023589977031
2,Global,2007,0.402753299694824,0.380891570373044,0.380891570373044
2,Global,2008,0.391618737917494,0.36921791302042,0.36921791302042
2,Global,2009,0.385930868679984,0.359388949375689,0.359388949375689
2,Global,2010,0.38329782805402,0.353271986992009,0.353271986992009
2,Global,2011,0.378377688570872,0.335224949401307,0.335224949401307
2,Global,2012,0.365299852244879,0.321432498179006,0.321432498179006
2,Global,2013,0.371027833916549,0.318935452841643,0.318935452841643
2,Global,2014,0.380530431299128,0.316530634925749,0.316530634925749
2,Global,2015,0.393760402829209,0.328676113651861,0.328676113651861
2,Global,2016,0.392942462126948,0.321540752839258,0.321540752839258
3,Global,1970,1,1,1
3,Global,1971,0.936892722744279,0.979758827787722,0.979758827787722
3,Global,1972,0.937326361685094,0.971385790032527,0.971385790032527
3,Global,1973,0.933452265181315,0.954288754326971,0.954288754326971
3,Global,1974,0.923739723595518,0.938241139049362,0.938241139049362
3,Global,1975,0.904306016964744,0.933993178770404,0.933993178770404
3,Global,1976,0.867879246713075,0.908488682722145,0.908488682722145
3,Global,1977,0.84641085874565,0.880997526961841,0.880997526961841
3,Global,1978,0.821273329858643,0.847765146859123,0.847765146859123
3,Global,1979,0.805461840696336,0.829937922151802,0.829937922151802
3,Global,1980,0.778073440711085,0.802970402120339,0.802970402120339
3,Global,1981,0.750318568391846,0.778337852049175,0.778337852049175
3,Global,1982,0.723584536471007,0.753284663245717,0.753284663245717
3,Global,1983,0.698842608008574,0.726691770061832,0.726691770061832
3,Global,1984,0.678194172053695,0.69707352696729,0.69707352696729
3,Global,1985,0.658638030384462,0.681136316769705,0.681136316769705
3,Global,1986,0.645240567549266,0.668384810535002,0.668384810535002
3,Global,1987,0.618337318042373,0.646957595276995,0.646957595276995
3,Global,1988,0.585288657421979,0.620856335380496,0.620856335380496
3,Global,1989,0.572605780817662,0.609856614946671,0.609856614946671
3,Global,1990,0.575610169541803,0.615222291049322,0.615222291049322
3,Global,1991,0.560606175590229,0.597099598748033,0.597099598748033
3,Global,1992,0.549005937627176,0.583457987120688,0.583457987120688
3,Global,1993,0.547844722880437,0.5772220254616,0.5772220254616
3,Global,1994,0.528343091919412,0.546471655190441,0.546471655190441
3,Global,1995,0.520049969414165,0.537573137705011,0.537573137705011
3,Global,1996,0.503602941423581,0.522529747068038,0.522529747068038
3,Global,1997,0.48908128127645,0.509726588824856,0.509726588824856
3,Global,1998,0.474171648407063,0.490620761036454,0.490620761036454
3,Global,1999,0.462300192524223,0.475606552271229,0.475606552271229
3,Global,2000,0.453829447037024,0.464603234437547,0.464603234437547
3,Global,2001,0.443380253259548,0.452986306198357,0.452986306198357
3,Global,2002,0.423877000145952,0.433828898150908,0.433828898150908
3,Global,2003,0.423782357162732,0.429764302458318,0.429764302458318
3,Global,2004,0.42060052172382,0.426444647864822,0.426444647864822
3,Global,2005,0.402804752936323,0.406705014596078,0.406705014596078
3,Global,2006,0.3821283115628,0.391023589977031,0.391023589977031
3,Global,2007,0.370513578122452,0.380891570373044,0.380891570373044
3,Global,2008,0.352830782364979,0.36921791302042,0.36921791302042
3,Global,2009,0.343142135999923,0.359388949375689,0.359388949375689
3,Global,2010,0.335160846231391,0.353271986992009,0.353271986992009
3,Global,2011,0.315433316409654,0.335224949401307,0.335224949401307
3,Global,2012,0.298096359026843,0.321432498179006,0.321432498179006
3,Global,2013,0.292180303746093,0.318935452841643,0.318935452841643
3,Global,2014,0.281655407828807,0.316530634925749,0.316530634925749
3,Global,2015,0.295341853444078,0.328676113651861,0.328676113651861
3,Global,2016,0.280851758247544,0.321540752839258,0.321540752839258
4,Global,1970,1,1,1
4,Global,1971,0.976710320717607,0.979758827787722,0.979758827787722
4,Global,1972,0.96159289685253,0.971385790032527,0.971385790032527
4,Global,1973,0.936123837293083,0.954288754326971,0.954288754326971
4,Global,1974,0.92316221197492,0.938241139049362,0.938241139049362
4,Global,1975,0.921790369292595,0.933993178770404,0.933993178770404
4,Global,1976,0.88886503786553,0.908488682722145,0.908488682722145
4,Global,1977,0.864202123388278,0.880997526961841,0.880997526961841
4,Global,1978,0.831079292911747,0.847765146859123,0.847765146859123
4,Global,1979,0.810439834182828,0.829937922151802,0.829937922151802
4,Global,1980,0.787392375006197,0.802970402120339,0.802970402120339
4,Global,1981,0.758136053264599,0.778337852049175,0.778337852049175
4,Global,1982,0.733023169444296,0.753284663245717,0.753284663245717
4,Global,1983,0.70257322610835,0.726691770061832,0.726691770061832
4,Global,1984,0.686197101612938,0.69707352696729,0.69707352696729
4,Global,1985,0.678754684996615,0.681136316769705,0.681136316769705
4,Global,1986,0.673936450011647,0.668384810535002,0.668384810535002
4,Global,1987,0.659180278155477,0.646957595276995,0.646957595276995
4,Global,1988,0.634068100027767,0.620856335380496,0.620856335380496
4,Global,1989,0.627674732251033,0.609856614946671,0.609856614946671
4,Global,1990,0.630957171058585,0.615222291049322,0.615222291049322
4,Global,1991,0.618629297892577,0.597099598748033,0.597099598748033
4,Global,1992,0.615924277486922,0.583457987120688,0.583457987120688
