ID,Binomial,Species_record_status,Class,Order,Family,Genus,Species,Subspecies,Authority,Common_name,Red_list_category,Year_assessed,Criteria,ED_score,RL_ID,RL_binomial,Fishbase_ID,Fishbase_binomial
847,Columbina_inca,Approved,Aves,Columbiformes,Columbidae,Columbina,inca,NULL,"(Lesson, 1847)",Inca dove,LC,2016,NULL,6.5652300,22690762,Columbina inca,NULL,NULL
848,Columbina_passerina,Approved,Aves,Columbiformes,Columbidae,Columbina,passerina,NULL,"(Linnaeus, 1758)",Common ground-dove,LC,2018,NULL,6.7389320,22690774,Columbina passerina,NULL,NULL
849,Coccyzus_erythropthalmus,Approved,Aves,Cuculiformes,Cuculidae,Coccyzus,erythropthalmus,NULL,"(Wilson, 1811)",Black-billed cuckoo,LC,2016,NULL,13.3321800,22684328,Coccyzus erythropthalmus,NULL,NULL
850,Coccyzus_americanus,Approved,Aves,Cuculiformes,Cuculidae,Coccyzus,americanus,NULL,"(Linnaeus, 1758)",Yellow-billed cuckoo,LC,2016,NULL,9.1548340,22684331,Coccyzus americanus,NULL,NULL
851,Geococcyx_californianus,Approved,Aves,Cuculiformes,Cuculidae,Geococcyx,californianus,NULL,"(Lesson, 1829)",Greater roadrunner,LC,2016,NULL,18.6113500,22684458,Geococcyx californianus,NULL,NULL
852,Bubo_virginianus,Approved,Aves,Strigiformes,Strigidae,Bubo,virginianus,NULL,"(Gmelin, 1788)",Great horned owl,LC,2018,NULL,6.3665870,61752071,Bubo virginianus,NULL,NULL
853,Athene_cunicularia,Approved,Aves,Strigiformes,Strigidae,Athene,cunicularia,NULL,"(Molina, 1782)",Burrowing owl,LC,2016,NULL,13.9518200,22689353,Athene cunicularia,NULL,NULL
854,Strix_varia,Approved,Aves,Strigiformes,Strigidae,Strix,varia,"","Barton, 1799",Barred owl,LC,2016,NULL,8.4711660,22689094,Strix varia,NULL,NULL
855,Chordeiles_acutipennis,Approved,Aves,Caprimulgiformes,Caprimulgidae,Chordeiles,acutipennis,NULL,"(Hermann, 1783)",Lesser nighthawk,LC,2016,NULL,11.6781200,22689711,Chordeiles acutipennis,NULL,NULL
856,Chordeiles_minor,Approved,Aves,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,NULL,"(Forster, 1771)",Common nighthawk,LC,2016,NULL,13.6568700,22689714,Chordeiles minor,NULL,NULL
857,Phalaenoptilus_nuttallii,Approved,Aves,Caprimulgiformes,Caprimulgidae,Phalaenoptilus,nuttallii,NULL,"(Audubon, 1844)",Common poorwill,LC,2016,NULL,12.7386600,22689735,Phalaenoptilus nuttallii,NULL,NULL
858,Antrostomus_carolinensis,Approved,Aves,Caprimulgiformes,Caprimulgidae,Antrostomus,carolinensis,NULL,"(Gmelin, 1789)",Chuck-will's-widow,NT,2018,A2ace+3ce+4ace,9.0429450,22689778,Antrostomus carolinensis,NULL,NULL
859,Antrostomus_vociferus,Approved,Aves,Caprimulgiformes,Caprimulgidae,Antrostomus,vociferus,NULL,"(Wilson, 1812)",Eastern whip-poor-will,NT,2018,A2ac+3c+4ac,9.9020170,22736393,Antrostomus vociferus,NULL,NULL
860,Cypseloides_niger,Approved,Aves,Caprimulgiformes,Apodidae,Cypseloides,niger,"","(Gmelin, 1789)",Black swift,VU,2018,A2ace+3ce+4ace,11.3145600,22686440,Cypseloides niger,NULL,NULL
861,Chaetura_pelagica,Approved,Aves,Caprimulgiformes,Apodidae,Chaetura,pelagica,"","(Linnaeus, 1758)",Chimney swift,VU,2018,A2acd+3cd+4acd,9.2208980,22686709,Chaetura pelagica,NULL,NULL
862,Chaetura_vauxi,Approved,Aves,Caprimulgiformes,Apodidae,Chaetura,vauxi,NULL,"(Townsend, 1839)",Vaux's swift,LC,2016,NULL,9.2576970,22733935,Chaetura vauxi,NULL,NULL
863,Aeronautes_saxatalis,Approved,Aves,Caprimulgiformes,Apodidae,Aeronautes,saxatalis,"","Woodhouse, 1853",White-throated swift,LC,2016,NULL,12.3917700,22686733,Aeronautes saxatalis,NULL,NULL
864,Archilochus_colubris,Approved,Aves,Caprimulgiformes,Trochilidae,Archilochus,colubris,NULL,"(Linnaeus, 1758)",Ruby-throated hummingbird,LC,2016,NULL,3.8285630,22688193,Archilochus colubris,NULL,NULL
865,Archilochus_alexandri,Approved,Aves,Caprimulgiformes,Trochilidae,Archilochus,alexandri,"","(Bourcier & Mulsant, 1846)",Black-chinned hummingbird,LC,2016,NULL,3.8285630,22688196,Archilochus alexandri,NULL,NULL
866,Calypte_anna,Approved,Aves,Caprimulgiformes,Trochilidae,Calypte,anna,"","(Lesson, 1829)",Anna's hummingbird,LC,2016,NULL,3.4269990,22688199,Calypte anna,NULL,NULL
867,Calypte_costae,Approved,Aves,Caprimulgiformes,Trochilidae,Calypte,costae,NULL,"(Bourcier, 1839)",Costa's hummingbird,LC,2016,NULL,3.4269990,22688202,Calypte costae,NULL,NULL
868,Selasphorus_calliope,Approved,Aves,Caprimulgiformes,Trochilidae,Selasphorus,calliope,NULL,"(Gould, 1847)",Calliope hummingbird,LC,2016,NULL,1.9068200,22688232,Selasphorus calliope,NULL,NULL
869,Selasphorus_platycercus,Approved,Aves,Caprimulgiformes,Trochilidae,Selasphorus,platycercus,NULL,"(Swainson, 1827)",Broad-tailed hummingbird,LC,2016,NULL,2.3155600,22688293,Selasphorus platycercus,NULL,NULL
870,Selasphorus_rufus,Approved,Aves,Caprimulgiformes,Trochilidae,Selasphorus,rufus,NULL,"(Gmelin, 1788)",Rufous hummingbird,NT,2018,A2ac+3c+4ac,1.9139640,22688296,Selasphorus rufus,NULL,NULL
871,Selasphorus_sasin,Approved,Aves,Caprimulgiformes,Trochilidae,Selasphorus,sasin,NULL,"(Lesson, 1829)",Allen's hummingbird,LC,2018,NULL,2.2071940,22688299,Selasphorus sasin,NULL,NULL
872,Melanerpes_lewis,Approved,Aves,Piciformes,Picidae,Melanerpes,lewis,NULL,"(Gray, 1849)",Lewis's woodpecker,LC,2016,NULL,5.4140180,22680801,Melanerpes lewis,NULL,NULL
873,Melanerpes_erythrocephalus,Approved,Aves,Piciformes,Picidae,Melanerpes,erythrocephalus,NULL,"(Linnaeus, 1758)",Red-headed woodpecker,LC,2018,NULL,5.0235730,22680810,Melanerpes erythrocephalus,NULL,NULL
874,Melanerpes_formicivorus,Approved,Aves,Piciformes,Picidae,Melanerpes,formicivorus,NULL,"(Swainson, 1827)",Acorn woodpecker,LC,2016,NULL,4.7420150,22680813,Melanerpes formicivorus,NULL,NULL
875,Melanerpes_uropygialis,Approved,Aves,Piciformes,Picidae,Melanerpes,uropygialis,NULL,"(Baird, 1854)",Gila woodpecker,LC,2016,NULL,4.1055840,22680853,Melanerpes uropygialis,NULL,NULL
876,Melanerpes_aurifrons,Approved,Aves,Piciformes,Picidae,Melanerpes,aurifrons,NULL,"(Wagler, 1829)",Golden-fronted woodpecker,LC,2016,NULL,3.8169740,22680862,Melanerpes aurifrons,NULL,NULL
877,Melanerpes_carolinus,Approved,Aves,Piciformes,Picidae,Melanerpes,carolinus,NULL,"(Linnaeus, 1758)",Red-bellied woodpecker,LC,2016,NULL,3.8702280,22680856,Melanerpes carolinus,NULL,NULL
878,Sphyrapicus_thyroideus,Approved,Aves,Piciformes,Picidae,Sphyrapicus,thyroideus,NULL,"(Cassin, 1851)",Williamson's sapsucker,LC,2016,NULL,5.8736110,22680877,Sphyrapicus thyroideus,NULL,NULL
879,Dryobates_scalaris,Approved,Aves,Piciformes,Picidae,Dryobates,scalaris,NULL,"(Wagler, 1829)",Ladder-backed woodpecker,LC,2016,NULL,3.5924090,22681152,Dryobates scalaris,NULL,NULL
880,Dryobates_nuttallii,Approved,Aves,Piciformes,Picidae,Dryobates,nuttallii,NULL,"(Gambel, 1843)",Nuttall's woodpecker,LC,2016,NULL,3.5933040,22681149,Dryobates nuttallii,NULL,NULL
881,Dryobates_pubescens,Approved,Aves,Piciformes,Picidae,Dryobates,pubescens,"","(Linnaeus, 1766)",Downy woodpecker,LC,2016,NULL,5.0255650,22681155,Dryobates pubescens,NULL,NULL
882,Leuconotopicus_villosus,Approved,Aves,Piciformes,Picidae,Leuconotopicus,villosus,NULL,"(Linnaeus, 1766)",Hairy woodpecker,LC,2016,NULL,4.0167020,22681166,Leuconotopicus villosus,NULL,NULL
883,Leuconotopicus_borealis,Approved,Aves,Piciformes,Picidae,Leuconotopicus,borealis,"","(Vieillot, 1809)",Red-cockaded woodpecker,NT,2016,C2a(i),6.0476370,22681158,Leuconotopicus borealis,NULL,NULL
884,Leuconotopicus_albolarvatus,Approved,Aves,Piciformes,Picidae,Leuconotopicus,albolarvatus,NULL,"(Cassin, 1850)",White-headed woodpecker,LC,2016,NULL,3.7741320,22681169,Leuconotopicus albolarvatus,NULL,NULL
885,Hylatomus_pileatus,Approved,Aves,Piciformes,Picidae,Hylatomus,pileatus,NULL,"(Linnaeus, 1758)",Pileated woodpecker,LC,2016,NULL,3.7988240,22681363,Hylatomus pileatus,NULL,NULL
886,Contopus_cooperi,Approved,Aves,Passeriformes,Tyrannidae,Contopus,cooperi,NULL,"(Swainson, 1832)",Olive-sided flycatcher,NT,2016,A2bc+3bc+4bc,4.8024790,22699787,Contopus cooperi,NULL,NULL
887,Contopus_sordidulus,Approved,Aves,Passeriformes,Tyrannidae,Contopus,sordidulus,NULL,"Sclater, 1859",Western wood-pewee,LC,2016,NULL,3.7804080,22699811,Contopus sordidulus,NULL,NULL
888,Contopus_virens,Approved,Aves,Passeriformes,Tyrannidae,Contopus,virens,NULL,"(Linnaeus, 1766)",Eastern wood-pewee,LC,2016,NULL,4.2152060,22699816,Contopus virens,NULL,NULL
889,Empidonax_flaviventris,Approved,Aves,Passeriformes,Tyrannidae,Empidonax,flaviventris,NULL,"(Baird & Girard, 1843)",Yellow-bellied flycatcher,LC,2016,NULL,5.1662560,22699839,Empidonax flaviventris,NULL,NULL
890,Empidonax_virescens,Approved,Aves,Passeriformes,Tyrannidae,Empidonax,virescens,NULL,"(Vieillot, 1818)",Acadian flycatcher,LC,2016,NULL,6.6095400,22699842,Empidonax virescens,NULL,NULL
891,Empidonax_minimus,Approved,Aves,Passeriformes,Tyrannidae,Empidonax,minimus,NULL,"(Baird & Baird, 1843)",Least flycatcher,LC,2016,NULL,5.0647060,22699854,Empidonax minimus,NULL,NULL
892,Empidonax_hammondii,Approved,Aves,Passeriformes,Tyrannidae,Empidonax,hammondii,NULL,"(Xántus de Vesey, 1858)",Hammond's flycatcher,LC,2016,NULL,4.2400490,22699857,Empidonax hammondii,NULL,NULL
893,Empidonax_wrightii,Approved,Aves,Passeriformes,Tyrannidae,Empidonax,wrightii,NULL,"Baird, 1858",American grey flycatcher,LC,2016,NULL,5.0469630,22699860,Empidonax wrightii,NULL,NULL
894,Empidonax_oberholseri,Approved,Aves,Passeriformes,Tyrannidae,Empidonax,oberholseri,NULL,"Phillips, 1939",American dusky flycatcher,LC,2016,NULL,3.0734220,22699864,Empidonax oberholseri,NULL,NULL
895,Sayornis_nigricans,Approved,Aves,Passeriformes,Tyrannidae,Sayornis,nigricans,NULL,"(Swainson, 1827)",Black phoebe,LC,2016,NULL,4.7399010,22699892,Sayornis nigricans,NULL,NULL
896,Sayornis_phoebe,Approved,Aves,Passeriformes,Tyrannidae,Sayornis,phoebe,NULL,"(Latham, 1790)",Eastern phoebe,LC,2016,NULL,4.7399010,22699886,Sayornis phoebe,NULL,NULL
897,Sayornis_saya,Approved,Aves,Passeriformes,Tyrannidae,Sayornis,saya,NULL,"(Bonaparte, 1825)",Say's phoebe,LC,2016,NULL,5.9802350,22699889,Sayornis saya,NULL,NULL
898,Pyrocephalus_rubinus,Approved,Aves,Passeriformes,Tyrannidae,Pyrocephalus,rubinus,NULL,"(Boddaert, 1783)",Common vermilion flycatcher,LC,2016,NULL,7.8862800,103682912,Pyrocephalus rubinus,NULL,NULL
899,Myiarchus_cinerascens,Approved,Aves,Passeriformes,Tyrannidae,Myiarchus,cinerascens,NULL,"(Lawrence, 1851)",Ash-throated flycatcher,LC,2016,NULL,2.6129410,22700427,Myiarchus cinerascens,NULL,NULL
900,Myiarchus_crinitus,Approved,Aves,Passeriformes,Tyrannidae,Myiarchus,crinitus,NULL,"(Linnaeus, 1758)",Great crested flycatcher,LC,2016,NULL,2.6567570,22700433,Myiarchus crinitus,NULL,NULL
901,Myiarchus_tyrannulus,Approved,Aves,Passeriformes,Tyrannidae,Myiarchus,tyrannulus,NULL,"(Müller, 1776)",Brown-crested flycatcher,LC,2016,NULL,2.8625620,22700436,Myiarchus tyrannulus,NULL,NULL
902,Tyrannus_couchii,Approved,Aves,Passeriformes,Tyrannidae,Tyrannus,couchii,NULL,"Baird, 1858",Couch's kingbird,LC,2016,NULL,3.0272880,22700488,Tyrannus couchii,NULL,NULL
903,Tyrannus_vociferans,Approved,Aves,Passeriformes,Tyrannidae,Tyrannus,vociferans,NULL,"Swainson, 1826",Cassin's kingbird,LC,2016,NULL,4.7613780,22700491,Tyrannus vociferans,NULL,NULL
904,Tyrannus_verticalis,Approved,Aves,Passeriformes,Tyrannidae,Tyrannus,verticalis,NULL,"Say, 1823",Western kingbird,LC,2016,NULL,3.5012680,22700497,Tyrannus verticalis,NULL,NULL
905,Tyrannus_tyrannus,Approved,Aves,Passeriformes,Tyrannidae,Tyrannus,tyrannus,NULL,"(Linnaeus, 1758)",Eastern kingbird,LC,2016,NULL,5.2564280,22700506,Tyrannus tyrannus,NULL,NULL
906,Tyrannus_forficatus,Approved,Aves,Passeriformes,Tyrannidae,Tyrannus,forficatus,NULL,"(Gmelin, 1789)",Scissor-tailed flycatcher,LC,2016,NULL,3.5113410,22700500,Tyrannus forficatus,NULL,NULL
907,Lanius_ludovicianus,Approved,Aves,Passeriformes,Laniidae,Lanius,ludovicianus,NULL,"Linnaeus, 1766",Loggerhead shrike,NT,2017,A2bce+3bce+4bce,3.6202480,22705042,Lanius ludovicianus,NULL,NULL
908,Vireo_griseus,Approved,Aves,Passeriformes,Vireonidae,Vireo,griseus,NULL,"(Boddaert, 1783)",White-eyed vireo,LC,2016,NULL,4.7116470,22705188,Vireo griseus,NULL,NULL
909,Vireo_bellii,Approved,Aves,Passeriformes,Vireonidae,Vireo,bellii,NULL,"Audubon, 1844",Bell's vireo,LC,2018,NULL,4.5796840,22705156,Vireo bellii,NULL,NULL
910,Vireo_vicinior,Approved,Aves,Passeriformes,Vireonidae,Vireo,vicinior,NULL,"Coues, 1866",Grey vireo,LC,2016,NULL,5.1799660,22705209,Vireo vicinior,NULL,NULL
911,Vireo_flavifrons,Approved,Aves,Passeriformes,Vireonidae,Vireo,flavifrons,NULL,"Vieillot, 1808",Yellow-throated vireo,LC,2016,NULL,4.6117030,22705237,Vireo flavifrons,NULL,NULL
912,Vireo_plumbeus,Approved,Aves,Passeriformes,Vireonidae,Vireo,plumbeus,NULL,"Coues, 1866",Plumbeous vireo,LC,2018,NULL,3.1921920,22705231,Vireo plumbeus,NULL,NULL
913,Vireo_cassinii,Approved,Aves,Passeriformes,Vireonidae,Vireo,cassinii,NULL,"Xántus de Vesey, 1858",Cassin's vireo,LC,2016,NULL,3.1915820,22705228,Vireo cassinii,NULL,NULL
914,Vireo_solitarius,Approved,Aves,Passeriformes,Vireonidae,Vireo,solitarius,NULL,"(Wilson, 1810)",Blue-headed vireo,LC,2016,NULL,3.4123460,22705234,Vireo solitarius,NULL,NULL
915,Vireo_huttoni,Approved,Aves,Passeriformes,Vireonidae,Vireo,huttoni,NULL,"Cassin, 1851",Hutton's vireo,LC,2018,NULL,5.1671070,22705182,Vireo huttoni,NULL,NULL
916,Vireo_gilvus,Approved,Aves,Passeriformes,Vireonidae,Vireo,gilvus,NULL,"Vieillot, 1808)",Warbling vireo,LC,2016,NULL,4.8718840,22735122,Vireo gilvus,NULL,NULL
917,Vireo_philadelphicus,Approved,Aves,Passeriformes,Vireonidae,Vireo,philadelphicus,NULL,"(Cassin, 1851)",Philadelphia vireo,LC,2016,NULL,4.7574800,22705240,Vireo philadelphicus,NULL,NULL
918,Vireo_olivaceus,Approved,Aves,Passeriformes,Vireonidae,Vireo,olivaceus,NULL,"(Linnaeus, 1766)",Red-eyed vireo,LC,2016,NULL,4.0592300,22705243,Vireo olivaceus,NULL,NULL
919,Perisoreus_canadensis,Approved,Aves,Passeriformes,Corvidae,Perisoreus,canadensis,NULL,"(Linnaeus, 1766)",Grey jay,LC,2018,NULL,9.3469040,22705783,Perisoreus canadensis,NULL,NULL
920,Cyanocitta_stelleri,Approved,Aves,Passeriformes,Corvidae,Cyanocitta,stelleri,NULL,"(Gmelin, 1788)",Steller's jay,LC,2016,NULL,7.6393300,22705614,Cyanocitta stelleri,NULL,NULL
921,Cyanocitta_cristata,Approved,Aves,Passeriformes,Corvidae,Cyanocitta,cristata,NULL,"(Linnaeus, 1758)",Blue jay,LC,2016,NULL,7.6491170,22705611,Cyanocitta cristata,NULL,NULL
922,Cyanocorax_yncas,Approved,Aves,Passeriformes,Corvidae,Cyanocorax,yncas,NULL,"(Boddaert, 1783)",Green jay,LC,2016,NULL,5.6665710,22705738,Cyanocorax yncas,NULL,NULL
923,Aphelocoma_californica,Approved,Aves,Passeriformes,Corvidae,Aphelocoma,californica,NULL,"(Vigors, 1839)",Western scrub-jay,LC,2016,NULL,4.9966710,103727785,Aphelocoma californica,NULL,NULL
924,Gymnorhinus_cyanocephalus,Approved,Aves,Passeriformes,Corvidae,Gymnorhinus,cyanocephalus,NULL,"Wied, 1841",Pinyon jay,VU,2016,A2bc+3bc+4bc,8.4849670,22705608,Gymnorhinus cyanocephalus,NULL,NULL
925,Nucifraga_columbiana,Approved,Aves,Passeriformes,Corvidae,Nucifraga,columbiana,NULL,"(Wilson, 1811)",Clark's nutcracker,LC,2018,NULL,6.4526180,22705909,Nucifraga columbiana,NULL,NULL
926,Pica_nutalli,Approved,Aves,Passeriformes,Corvidae,Pica,nutalli,"","(Audubon, 1837)",Yellow-billed magpie,VU,2018,A1ace,4.6539220,22705874,Pica nutalli,NULL,NULL
927,Corvus_brachyrhynchos,Approved,Aves,Passeriformes,Corvidae,Corvus,brachyrhynchos,NULL,"Brehm, 1822",American crow,LC,2018,NULL,2.5814700,22705990,Corvus brachyrhynchos,NULL,NULL
928,Corvus_caurinus,Approved,Aves,Passeriformes,Corvidae,Corvus,caurinus,NULL,"Baird, 1858",Northwestern crow,LC,2016,NULL,2.5841720,22705986,Corvus caurinus,NULL,NULL
929,Corvus_ossifragus,Approved,Aves,Passeriformes,Corvidae,Corvus,ossifragus,NULL,"Wilson, 1812",Fish crow,LC,2016,NULL,4.5110070,22705993,Corvus ossifragus,NULL,NULL
930,Corvus_cryptoleucus,Approved,Aves,Passeriformes,Corvidae,Corvus,cryptoleucus,NULL,"Couch, 1854",Chihuahuan raven,LC,2016,NULL,2.7411380,22706055,Corvus cryptoleucus,NULL,NULL
931,Eremophila_alpestris,Approved,Aves,Passeriformes,Alaudidae,Eremophila,alpestris,"","(Linnaeus, 1758)",Horned lark,LC,2016,NULL,6.9198690,22717434,Eremophila alpestris,NULL,NULL
932,Progne_subis,Approved,Aves,Passeriformes,Hirundinidae,Progne,subis,NULL,"(Linnaeus, 1758)",Purple martin,LC,2016,NULL,5.0950860,22712098,Progne subis,NULL,NULL
933,Tachycineta_bicolor,Approved,Aves,Passeriformes,Hirundinidae,Tachycineta,bicolor,NULL,"(Vieillot, 1808)",Tree swallow,LC,2016,NULL,7.1001940,22712057,Tachycineta bicolor,NULL,NULL
934,Tachycineta_thalassina,Approved,Aves,Passeriformes,Hirundinidae,Tachycineta,thalassina,NULL,"(Swainson, 1827)",Violet-green swallow,LC,2016,NULL,6.7692950,22712077,Tachycineta thalassina,NULL,NULL
935,Stelgidopteryx_serripennis,Approved,Aves,Passeriformes,Hirundinidae,Stelgidopteryx,serripennis,NULL,"(Audubon, 1838)",Northern rough-winged swallow,LC,2016,NULL,6.3233160,22712152,Stelgidopteryx serripennis,NULL,NULL
936,Petrochelidon_pyrrhonota,Approved,Aves,Passeriformes,Hirundinidae,Petrochelidon,pyrrhonota,"","Vieillot, 1817",Cliff swallow,LC,2016,NULL,3.7608960,22712427,Petrochelidon pyrrhonota,NULL,NULL
937,Petrochelidon_fulva,Approved,Aves,Passeriformes,Hirundinidae,Petrochelidon,fulva,NULL,"Vieillot, 1807",Cave swallow,LC,2016,NULL,3.6562460,22712435,Petrochelidon fulva,NULL,NULL
938,Poecile_carolinensis,Approved,Aves,Passeriformes,Paridae,Poecile,carolinensis,NULL,"(Audubon, 1834)",Carolina chickadee,LC,2016,NULL,8.6931100,22711708,Poecile carolinensis,NULL,NULL
939,Poecile_atricapillus,Approved,Aves,Passeriformes,Paridae,Poecile,atricapillus,NULL,"(Linnaeus, 1766)",Black-capped chickadee,LC,2016,NULL,8.6931100,22711716,Poecile atricapillus,NULL,NULL
940,Poecile_gambeli,Approved,Aves,Passeriformes,Paridae,Poecile,gambeli,NULL,"(Ridgway, 1886)",Mountain chickadee,LC,2016,NULL,8.6931100,22711724,Poecile gambeli,NULL,NULL
941,Poecile_rufescens,Approved,Aves,Passeriformes,Paridae,Poecile,rufescens,NULL,"(Townsend, 1837)",Chestnut-backed chickadee,LC,2016,NULL,8.6931100,22711767,Poecile rufescens,NULL,NULL
942,Poecile_hudsonicus,Approved,Aves,Passeriformes,Paridae,Poecile,hudsonicus,NULL,"(Forster, 1772)",Boreal chickadee,LC,2016,NULL,8.6931100,22711759,Poecile hudsonicus,NULL,NULL
943,Baeolophus_inornatus,Approved,Aves,Passeriformes,Paridae,Baeolophus,inornatus,NULL,"(Gambel, 1845)",Oak titmouse,LC,2016,NULL,6.8705980,22711978,Baeolophus inornatus,NULL,NULL
944,Baeolophus_ridgwayi,Approved,Aves,Passeriformes,Paridae,Baeolophus,ridgwayi,NULL,"(Richmond, 1902)",Juniper titmouse,LC,2016,NULL,6.8705980,22729143,Baeolophus ridgwayi,NULL,NULL
945,Baeolophus_bicolor,Approved,Aves,Passeriformes,Paridae,Baeolophus,bicolor,"","Linnaeus, 1766",Tufted titmouse,LC,2016,NULL,5.5841870,22711983,Baeolophus bicolor,NULL,NULL
946,Auriparus_flaviceps,Approved,Aves,Passeriformes,Remizidae,Auriparus,flaviceps,NULL,"(Sundevall, 1850)",Verdin,LC,2016,NULL,21.6622400,22711568,Auriparus flaviceps,NULL,NULL
947,Psaltriparus_minimus,Approved,Aves,Passeriformes,Aegithalidae,Psaltriparus,minimus,NULL,"(Townsend, 1837)",American bushtit,LC,2018,NULL,8.8633690,22712028,Psaltriparus minimus,NULL,NULL
948,Sitta_canadensis,Approved,Aves,Passeriformes,Sittidae,Sitta,canadensis,NULL,"Linnaeus, 1766",Red-breasted nuthatch,LC,2018,NULL,5.8937090,22711196,Sitta canadensis,NULL,NULL
949,Sitta_carolinensis,Approved,Aves,Passeriformes,Sittidae,Sitta,carolinensis,NULL,"Latham, 1790",White-breasted nuthatch,LC,2016,NULL,8.7521400,22711202,Sitta carolinensis,NULL,NULL
950,Sitta_pygmaea,Approved,Aves,Passeriformes,Sittidae,Sitta,pygmaea,NULL,"Vigors, 1839",Pygmy nuthatch,LC,2016,NULL,6.9050290,22711170,Sitta pygmaea,NULL,NULL
951,Sitta_pusilla,Approved,Aves,Passeriformes,Sittidae,Sitta,pusilla,NULL,"Latham, 1790",Brown-headed nuthatch,LC,2016,NULL,6.8651160,103881613,Sitta pusilla,NULL,NULL
952,Certhia_americana,Approved,Aves,Passeriformes,Certhiidae,Certhia,americana,NULL,"Bonaparte, 1838",American treecreeper,LC,2016,NULL,7.1087390,22711244,Certhia americana,NULL,NULL
953,Campylorhynchus_brunneicapillus,Approved,Aves,Passeriformes,Troglodytidae,Campylorhynchus,brunneicapillus,NULL,"(Lafresnaye, 1835)",Cactus wren,LC,2016,NULL,6.6977000,22711287,Campylorhynchus brunneicapillus,NULL,NULL
954,Salpinctes_obsoletus,Approved,Aves,Passeriformes,Troglodytidae,Salpinctes,obsoletus,NULL,"(Say, 1823)",Rock wren,LC,2016,NULL,10.0429400,22711332,Salpinctes obsoletus,NULL,NULL
955,Catherpes_mexicanus,Approved,Aves,Passeriformes,Troglodytidae,Catherpes,mexicanus,NULL,"(Swainson, 1829)",Canyon wren,LC,2016,NULL,8.3919000,22711335,Catherpes mexicanus,NULL,NULL
956,Thryothorus_ludovicianus,Approved,Aves,Passeriformes,Troglodytidae,Thryothorus,ludovicianus,"","(Latham, 1790)",Carolina wren,LC,2018,NULL,8.8353310,103887192,Thryothorus ludovicianus,NULL,NULL
957,Thryomanes_bewickii,Approved,Aves,Passeriformes,Troglodytidae,Thryomanes,bewickii,NULL,"(Audubon, 1827)",Bewick's wren,LC,2018,NULL,8.0246650,22711377,Thryomanes bewickii,NULL,NULL
958,Troglodytes_aedon,Approved,Aves,Passeriformes,Troglodytidae,Troglodytes,aedon,NULL,"Vieillot, 1809",House wren,LC,2016,NULL,4.2942340,103886826,Troglodytes aedon,NULL,NULL
959,Cistothorus_platensis,Approved,Aves,Passeriformes,Troglodytidae,Cistothorus,platensis,NULL,"(Latham, 1790)",Grass wren,LC,2016,NULL,6.0701280,103886997,Cistothorus platensis,NULL,NULL
960,Cinclus_mexicanus,Approved,Aves,Passeriformes,Cinclidae,Cinclus,mexicanus,NULL,"Swainson, 1827",American dipper,LC,2016,NULL,12.1873500,22708163,Cinclus mexicanus,NULL,NULL
961,Regulus_satrapa,Approved,Aves,Passeriformes,Regulidae,Regulus,satrapa,NULL,"Lichtenstein, 1823",Golden-crowned kinglet,LC,2018,NULL,32.8600800,22712594,Regulus satrapa,NULL,NULL
962,Regulus_calendula,Approved,Aves,Passeriformes,Regulidae,Regulus,calendula,NULL,"(Linnaeus, 1766)",Ruby-crowned kinglet,LC,2016,NULL,19.9313400,22712567,Regulus calendula,NULL,NULL
963,Polioptila_caerulea,Approved,Aves,Passeriformes,Polioptilidae,Polioptila,caerulea,NULL,"(Linnaeus, 1766)",Blue-grey gnatcatcher,LC,2016,NULL,5.2733860,22711581,Polioptila caerulea,NULL,NULL
964,Polioptila_melanura,Approved,Aves,Passeriformes,Polioptilidae,Polioptila,melanura,NULL,"Lawrence, 1857",Black-tailed gnatcatcher,LC,2018,NULL,4.2649890,22711588,Polioptila melanura,NULL,NULL
965,Sialia_sialis,Approved,Aves,Passeriformes,Turdidae,Sialia,sialis,NULL,"(Linnaeus, 1758)",Eastern bluebird,LC,2018,NULL,8.1043920,22708550,Sialia sialis,NULL,NULL
966,Sialia_mexicana,Approved,Aves,Passeriformes,Turdidae,Sialia,mexicana,NULL,"Swainson, 1832",Western bluebird,LC,2016,NULL,7.8158300,22708553,Sialia mexicana,NULL,NULL
967,Sialia_currucoides,Approved,Aves,Passeriformes,Turdidae,Sialia,currucoides,NULL,"Bechstein, 1798",Mountain bluebird,LC,2016,NULL,7.8203850,22708556,Sialia currucoides,NULL,NULL
968,Myadestes_townsendi,Approved,Aves,Passeriformes,Turdidae,Myadestes,townsendi,NULL,"(Audubon, 1838)",Townsend's solitaire,LC,2018,NULL,7.5513310,22708587,Myadestes townsendi,NULL,NULL
969,Catharus_fuscescens,Approved,Aves,Passeriformes,Turdidae,Catharus,fuscescens,NULL,"(Stephens, 1817)",Veery,LC,2018,NULL,3.5566500,22708655,Catharus fuscescens,NULL,NULL
970,Catharus_ustulatus,Approved,Aves,Passeriformes,Turdidae,Catharus,ustulatus,NULL,"(Nuttall, 1840)",Russet-backed thrush,LC,2018,NULL,6.8413010,103881682,Catharus ustulatus,NULL,NULL
971,Catharus_guttatus,Approved,Aves,Passeriformes,Turdidae,Catharus,guttatus,NULL,"(Pallas, 1811)",Hermit thrush,LC,2016,NULL,5.1882110,22708667,Catharus guttatus,NULL,NULL
