sample,System,Year,LPI_final,CI_high,CI_low
79,Global,1996,0.559922462776031,0.522529747068038,0.522529747068038
79,Global,1997,0.543976141738557,0.509726588824856,0.509726588824856
79,Global,1998,0.52788748216306,0.490620761036454,0.490620761036454
79,Global,1999,0.506101981784438,0.475606552271229,0.475606552271229
79,Global,2000,0.488414923228867,0.464603234437547,0.464603234437547
79,Global,2001,0.475352673420354,0.452986306198357,0.452986306198357
79,Global,2002,0.463493548014498,0.433828898150908,0.433828898150908
79,Global,2003,0.461440457673739,0.429764302458318,0.429764302458318
79,Global,2004,0.45780373963026,0.426444647864822,0.426444647864822
79,Global,2005,0.4285211983251,0.406705014596078,0.406705014596078
79,Global,2006,0.409448484103043,0.391023589977031,0.391023589977031
79,Global,2007,0.39631344117839,0.380891570373044,0.380891570373044
79,Global,2008,0.377065701342773,0.36921791302042,0.36921791302042
79,Global,2009,0.368544363473576,0.359388949375689,0.359388949375689
79,Global,2010,0.360160967203799,0.353271986992009,0.353271986992009
79,Global,2011,0.334793674933657,0.335224949401307,0.335224949401307
79,Global,2012,0.309588298907856,0.321432498179006,0.321432498179006
79,Global,2013,0.300676771931612,0.318935452841643,0.318935452841643
79,Global,2014,0.286470170591742,0.316530634925749,0.316530634925749
79,Global,2015,0.297147776182871,0.328676113651861,0.328676113651861
79,Global,2016,0.284591373917058,0.321540752839258,0.321540752839258
80,Global,1970,1,1,1
80,Global,1971,0.991069408339977,0.979758827787722,0.979758827787722
80,Global,1972,1.02209484850038,0.971385790032527,0.971385790032527
80,Global,1973,0.995189806908331,0.954288754326971,0.954288754326971
80,Global,1974,0.953995524491525,0.938241139049362,0.938241139049362
80,Global,1975,0.972069143518921,0.933993178770404,0.933993178770404
80,Global,1976,0.94615397842049,0.908488682722145,0.908488682722145
80,Global,1977,0.913944905034428,0.880997526961841,0.880997526961841
80,Global,1978,0.883186363589342,0.847765146859123,0.847765146859123
80,Global,1979,0.867474295908969,0.829937922151802,0.829937922151802
80,Global,1980,0.832876456816997,0.802970402120339,0.802970402120339
80,Global,1981,0.808219494833272,0.778337852049175,0.778337852049175
80,Global,1982,0.782571618476101,0.753284663245717,0.753284663245717
80,Global,1983,0.765284934982044,0.726691770061832,0.726691770061832
80,Global,1984,0.731386349030572,0.69707352696729,0.69707352696729
80,Global,1985,0.704341410739815,0.681136316769705,0.681136316769705
80,Global,1986,0.698102537362519,0.668384810535002,0.668384810535002
